actor,show,year,top_cast,episodes
Felicity Jones,Law & Order,1990,Fred Dalton Thompson,2
Felicity Jones,Law & Order,1990,Chris Noth,2
Felicity Jones,Law & Order,1990,Steven Hill,2
Allison Janney,Law & Order,1990,Steven Hill,2
Allison Janney,Law & Order,1990,Jesse L. Martin,2
Allison Janney,Law & Order,1990,Sam Waterston,2
Allison Janney,Law & Order,1990,S. Epatha Merkerson,2
Allison Janney,Law & Order,1990,Jerry Orbach,2
Bryan Cranston,Lilo & Stitch: The Series,2003,Frank Welker,2
Bryan Cranston,Lilo & Stitch: The Series,2003,Chris Sanders,2
Bryan Cranston,Lilo & Stitch: The Series,2003,Liliana Mumy,2
Bryan Cranston,Lilo & Stitch: The Series,2003,Tia Carrere,2
Bryan Cranston,Lilo & Stitch: The Series,2003,April Winchell,2
Bryan Cranston,Lilo & Stitch: The Series,2003,Kevin McDonald,2
Bryan Cranston,Lilo & Stitch: The Series,2003,Daveigh Chase,2
Bryan Cranston,Lilo & Stitch: The Series,2003,Tress MacNeille,2
Bryan Cranston,Lilo & Stitch: The Series,2003,David Ogden Stiers,2
Rosamund Pike,Love in a Cold Climate,2001,Frances Barber,2
Rosamund Pike,Love in a Cold Climate,2001,Megan Dodds,2
Rosamund Pike,Love in a Cold Climate,2001,Christian Coulson,2
Rosamund Pike,Love in a Cold Climate,2001,Alan Bates,2
Rosamund Pike,Love in a Cold Climate,2001,Anna Popplewell,2
Rosamund Pike,Love in a Cold Climate,2001,Javier Alcina,2
Rosamund Pike,Love in a Cold Climate,2001,Rosamund Pike,2
Rosamund Pike,Love in a Cold Climate,2001,John Light,2
Rosamund Pike,Love in a Cold Climate,2001,Elisabeth Dermot Walsh,2
Bryan Cranston,MADtv,1995,Debra Wilson,2
Bryan Cranston,MADtv,1995,Ike Barinholtz,2
Bryan Cranston,MADtv,1995,Will Sasso,2
Bryan Cranston,MADtv,1995,Jordan Peele,2
Bryan Cranston,MADtv,1995,Nicole Parker,2
Bryan Cranston,MADtv,1995,Bobby Lee,2
Bryan Cranston,MADtv,1995,Aries Spears,2
Bryan Cranston,MADtv,1995,Keegan-Michael Key,2
Bryan Cranston,MADtv,1995,Phil LaMarr,2
Dev Patel,Mister Eleven,2009,Dev Patel,2
Dev Patel,Mister Eleven,2009,Michelle Ryan,2
Dev Patel,Mister Eleven,2009,Adam Garcia,2
Dev Patel,Mister Eleven,2009,Sean Maguire,2
Bryan Cranston,"Murder, She Wrote",1984,Ron Masak,2
Bryan Cranston,"Murder, She Wrote",1984,Will Nye,2
Bryan Cranston,"Murder, She Wrote",1984,William Windom,2
Bryan Cranston,"Murder, She Wrote",1984,Tom Bosley,2
Bryan Cranston,"Murder, She Wrote",1984,Angela Lansbury,2
Bryan Cranston,"Murder, She Wrote",1984,Louis Herthum,2
Bryan Cranston,"Murder, She Wrote",1984,Keith Michell,2
Bryan Cranston,"Murder, She Wrote",1984,Herb Edelman,2
Bryan Cranston,"Murder, She Wrote",1984,Julie Adams,2
Benedict Cumberbatch,Nathan Barley,2005,Rhys Thomas,2
Benedict Cumberbatch,Nathan Barley,2005,Julian Barratt,2
Benedict Cumberbatch,Nathan Barley,2005,Nicholas Burns,2
Benedict Cumberbatch,Nathan Barley,2005,Claire Keelan,2
Benedict Cumberbatch,Nathan Barley,2005,Nina Sosanya,2
Benedict Cumberbatch,Nathan Barley,2005,Noel Fielding,2
Benedict Cumberbatch,Nathan Barley,2005,Ben Whishaw,2
Benedict Cumberbatch,Nathan Barley,2005,Richard Ayoade,2
Benedict Cumberbatch,Nathan Barley,2005,Charlie Condou,2
Mary J. Blige,New York Undercover,1994,Michael DeLorenzo,2
Mary J. Blige,New York Undercover,1994,Lauren V̩lez,2
Mary J. Blige,New York Undercover,1994,George O. Gore II,2
Mary J. Blige,New York Undercover,1994,Fatima Faloye,2
Mary J. Blige,New York Undercover,1994,Thomas Mikal Ford,2
Mary J. Blige,New York Undercover,1994,Josh Hopkins,2
Mary J. Blige,New York Undercover,1994,Patti D'Arbanville,2
Mary J. Blige,New York Undercover,1994,Jonathan LaPaglia,2
Mary J. Blige,New York Undercover,1994,Malik Yoba,2
J.K. Simmons,Party Down,2009,Jane Lynch,2
J.K. Simmons,Party Down,2009,Martin Starr,2
J.K. Simmons,Party Down,2009,J.K. Simmons,2
J.K. Simmons,Party Down,2009,Adam Scott,2
J.K. Simmons,Party Down,2009,Megan Mullally,2
J.K. Simmons,Party Down,2009,Ryan Hansen,2
J.K. Simmons,Party Down,2009,Lizzy Caplan,2
J.K. Simmons,Party Down,2009,Ian Roberts,2
J.K. Simmons,Party Down,2009,Ken Marino,2
Bryan Cranston,Real Time with Bill Maher,2003,Andrew Sullivan,2
Bryan Cranston,Real Time with Bill Maher,2003,Michael Moore,2
Bryan Cranston,Real Time with Bill Maher,2003,Arianna Huffington,2
Bryan Cranston,Real Time with Bill Maher,2003,Michael Eric Dyson,2
Bryan Cranston,Real Time with Bill Maher,2003,D. L. Hughley,2
Bryan Cranston,Real Time with Bill Maher,2003,Salman Rushdie,2
Bryan Cranston,Real Time with Bill Maher,2003,David Frum,2
Bryan Cranston,Real Time with Bill Maher,2003,Bill Maher,2
Bryan Cranston,Real Time with Bill Maher,2003,Barney Frank,2
Charlotte Rampling,Restless,2012,Rufus Sewell,2
Charlotte Rampling,Restless,2012,Adrian Scarborough,2
Charlotte Rampling,Restless,2012,Charlotte Rampling,2
Charlotte Rampling,Restless,2012,Tom Brooke,2
Charlotte Rampling,Restless,2012,Michael Gambon,2
Charlotte Rampling,Restless,2012,Bertie Carvel,2
Charlotte Rampling,Restless,2012,Michelle Dockery,2
Charlotte Rampling,Restless,2012,James Norton,2
Charlotte Rampling,Restless,2012,Alexander Fehling,2
Benedict Cumberbatch,Silent Witness,1996,William Gaminara,2
Benedict Cumberbatch,Silent Witness,1996,Samuel Timson,2
Benedict Cumberbatch,Silent Witness,1996,Laura Crossley,2
Benedict Cumberbatch,Silent Witness,1996,Tom Ward,2
Benedict Cumberbatch,Silent Witness,1996,Emilia Fox,2
Benedict Cumberbatch,Silent Witness,1996,Amanda Burton,2
Benedict Cumberbatch,Silent Witness,1996,Liz Carr,2
Benedict Cumberbatch,Silent Witness,1996,Joseph Timson,2
Benedict Cumberbatch,Silent Witness,1996,David Caves,2
Benedict Cumberbatch,Small Island,2009,David Oyelowo,2
Benedict Cumberbatch,Small Island,2009,Ashley Walters,2
Benedict Cumberbatch,Small Island,2009,Naomie Harris,2
Benedict Cumberbatch,Small Island,2009,Shaun Parkes,2
Benedict Cumberbatch,Small Island,2009,Hugh Quarshie,2
Benedict Cumberbatch,Small Island,2009,Benedict Cumberbatch,2
Benedict Cumberbatch,Small Island,2009,Ruth Wilson,2
Benedict Cumberbatch,Small Island,2009,Nikki Amuka-Bird,2
Benedict Cumberbatch,Small Island,2009,Karl Johnson,2
Naomie Harris,Small Island,2009,Ashley Walters,2
Naomie Harris,Small Island,2009,Hugh Quarshie,2
Naomie Harris,Small Island,2009,Nikki Amuka-Bird,2
Naomie Harris,Small Island,2009,Shaun Parkes,2
Naomie Harris,Small Island,2009,Karl Johnson,2
Naomie Harris,Small Island,2009,David Oyelowo,2
Naomie Harris,Small Island,2009,Ruth Wilson,2
Naomie Harris,Small Island,2009,Naomie Harris,2
Naomie Harris,Small Island,2009,Benedict Cumberbatch,2
Felicity Jones,Star Wars: Forces of Destiny,2017,Kelly Marie Tran,2
Felicity Jones,Star Wars: Forces of Destiny,2017,Mark Hamill,2
Felicity Jones,Star Wars: Forces of Destiny,2017,Tiya Sircar,2
Felicity Jones,Star Wars: Forces of Destiny,2017,Catherine Taber,2
Felicity Jones,Star Wars: Forces of Destiny,2017,David Acord,2
Felicity Jones,Star Wars: Forces of Destiny,2017,Dave Filoni,2
Felicity Jones,Star Wars: Forces of Destiny,2017,Ashley Eckstein,2
Felicity Jones,Star Wars: Forces of Destiny,2017,Tom Kane,2
Felicity Jones,Star Wars: Forces of Destiny,2017,Gina Torres,2
Patricia Arquette,The Ellen DeGeneres Show,2003,Ellen DeGeneres,2
Patricia Arquette,The Ellen DeGeneres Show,2003,Sherri Shepherd,2
Patricia Arquette,The Ellen DeGeneres Show,2003,Howie Mandel,2
Patricia Arquette,The Ellen DeGeneres Show,2003,Betty White,2
Patricia Arquette,The Ellen DeGeneres Show,2003,Leah Remini,2
Patricia Arquette,The Ellen DeGeneres Show,2003,Jennifer Love Hewitt,2
Patricia Arquette,The Ellen DeGeneres Show,2003,Stephen Boss,2
Patricia Arquette,The Ellen DeGeneres Show,2003,Tony Okungbowa,2
Patricia Arquette,The Ellen DeGeneres Show,2003,Queen Latifah,2
Felicity Jones,The Graham Norton Show,2007,David Walliams,2
Felicity Jones,The Graham Norton Show,2007,Daniel Radcliffe,2
Felicity Jones,The Graham Norton Show,2007,Jack Whitehall,2
Felicity Jones,The Graham Norton Show,2007,Miranda Hart,2
Felicity Jones,The Graham Norton Show,2007,Graham Norton,2
Felicity Jones,The Graham Norton Show,2007,Ricky Gervais,2
Felicity Jones,The Graham Norton Show,2007,Judi Dench,2
Felicity Jones,The Graham Norton Show,2007,Dawn French,2
Felicity Jones,The Graham Norton Show,2007,James McAvoy,2
Bryan Cranston,The Graham Norton Show,2007,Graham Norton,2
Bryan Cranston,The Graham Norton Show,2007,David Walliams,2
Bryan Cranston,The Graham Norton Show,2007,Miranda Hart,2
Bryan Cranston,The Graham Norton Show,2007,Judi Dench,2
Bryan Cranston,The Graham Norton Show,2007,Daniel Radcliffe,2
Bryan Cranston,The Graham Norton Show,2007,Jack Whitehall,2
Bryan Cranston,The Graham Norton Show,2007,Ricky Gervais,2
Bryan Cranston,The Graham Norton Show,2007,Dawn French,2
Bryan Cranston,The Graham Norton Show,2007,James McAvoy,2
Allison Janney,The Late Late Show with James Corden,2015,Katie Couric,2
Allison Janney,The Late Late Show with James Corden,2015,Simon Cowell,2
Allison Janney,The Late Late Show with James Corden,2015,Reggie Watts,2
Allison Janney,The Late Late Show with James Corden,2015,Arnold Schwarzenegger,2
Allison Janney,The Late Late Show with James Corden,2015,James Corden,2
Brie Larson,The League,2009,Stephen Rannazzisi,2
Brie Larson,The League,2009,Paul Scheer,2
Brie Larson,The League,2009,Mark Duplass,2
Brie Larson,The League,2009,Jon Lajoie,2
Brie Larson,The League,2009,Nick Kroll,2
Patricia Arquette,The Tonight Show with Jay Leno,1992,Terry Bradshaw,2
Patricia Arquette,The Tonight Show with Jay Leno,1992,Jay Leno,2
Patricia Arquette,The Tonight Show with Jay Leno,1992,Howie Mandel,2
Patricia Arquette,The Tonight Show with Jay Leno,1992,Larry the Cable Guy,2
Patricia Arquette,The Tonight Show with Jay Leno,1992,Dennis Miller,2
Patricia Arquette,The Tonight Show with Jay Leno,1992,Bill Maher,2
Patricia Arquette,The Tonight Show with Jay Leno,1992,Prince,2
Patricia Arquette,The Tonight Show with Jay Leno,1992,Phil McGraw,2
Patricia Arquette,The Tonight Show with Jay Leno,1992,Wanda Sykes,2
Michael Keaton,The Tony Randall Show,1976,Tony Randall,2
Michael Keaton,The Tony Randall Show,1976,Rachel Roberts,2
Michael Keaton,The Tony Randall Show,1976,Michael Burns,2
Michael Keaton,The Tony Randall Show,1976,Michael Keaton,2
Michael Keaton,The Tony Randall Show,1976,Michael Durrell,2
Michael Keaton,The Tony Randall Show,1976,Annette O'Toole,2
Michael Keaton,The Tony Randall Show,1976,Devon Scott,2
Michael Keaton,The Tony Randall Show,1976,Brad Savage,2
Michael Keaton,The Tony Randall Show,1976,Zane Lasky,2
Patricia Arquette,The View,1997,Meredith Vieira,2
Patricia Arquette,The View,1997,Lisa Ling,2
Patricia Arquette,The View,1997,Sherri Shepherd,2
Patricia Arquette,The View,1997,Whoopi Goldberg,2
Patricia Arquette,The View,1997,Elisabeth Hasselbeck,2
Patricia Arquette,The View,1997,Star Jones,2
Patricia Arquette,The View,1997,Debbie Matenopoulos,2
Patricia Arquette,The View,1997,Barbara Walters,2
Patricia Arquette,The View,1997,Joy Behar,2
Allison Janney,The View,1997,Meredith Vieira,2
Allison Janney,The View,1997,Elisabeth Hasselbeck,2
Allison Janney,The View,1997,Joy Behar,2
Allison Janney,The View,1997,Star Jones,2
Allison Janney,The View,1997,Barbara Walters,2
Andrew Garfield,Trial & Retribution,1997,George Asprey,2
Andrew Garfield,Trial & Retribution,1997,David Kennedy,2
Andrew Garfield,Trial & Retribution,1997,Victoria Smurfit,2
Andrew Garfield,Trial & Retribution,1997,Michael Simkins,2
Andrew Garfield,Trial & Retribution,1997,Daniel Ryan,2
Andrew Garfield,Trial & Retribution,1997,David Hayman,2
Andrew Garfield,Trial & Retribution,1997,Kate Buffery,2
Andrew Garfield,Trial & Retribution,1997,Dorian Lough,2
Andrew Garfield,Trial & Retribution,1997,Inday Ba,2
Naomie Harris,Trial & Retribution,1997,David Hayman,2
Naomie Harris,Trial & Retribution,1997,Michael Simkins,2
Naomie Harris,Trial & Retribution,1997,Dorian Lough,2
Naomie Harris,Trial & Retribution,1997,George Asprey,2
Naomie Harris,Trial & Retribution,1997,David Kennedy,2
Naomie Harris,Trial & Retribution,1997,Daniel Ryan,2
Naomie Harris,Trial & Retribution,1997,Inday Ba,2
Naomie Harris,Trial & Retribution,1997,Kate Buffery,2
Naomie Harris,Trial & Retribution,1997,Victoria Smurfit,2
Rosamund Pike,Watership Down,2018,Peter Capaldi,2
Rosamund Pike,Watership Down,2018,James McAvoy,2
Rosamund Pike,Watership Down,2018,Gemma Arterton,2
Rosamund Pike,Watership Down,2018,Olivia Colman,2
Rosamund Pike,Watership Down,2018,Daniel Kaluuya,2
Rosamund Pike,Watership Down,2018,Rosamund Pike,2
Rosamund Pike,Watership Down,2018,Ben Kingsley,2
Rosamund Pike,Watership Down,2018,Nicholas Hoult,2
Rosamund Pike,Watership Down,2018,John Boyega,2
Daniel Kaluuya,Watership Down,2018,Olivia Colman,2
Daniel Kaluuya,Watership Down,2018,John Boyega,2
Daniel Kaluuya,Watership Down,2018,Peter Capaldi,2
Daniel Kaluuya,Watership Down,2018,James McAvoy,2
Daniel Kaluuya,Watership Down,2018,Daniel Kaluuya,2
Daniel Kaluuya,Watership Down,2018,Nicholas Hoult,2
Daniel Kaluuya,Watership Down,2018,Ben Kingsley,2
Daniel Kaluuya,Watership Down,2018,Gemma Arterton,2
Daniel Kaluuya,Watership Down,2018,Rosamund Pike,2
Rosamund Pike,Women in Love,2011,Patrick Lyster,2
Rosamund Pike,Women in Love,2011,James Alexander,2
Rosamund Pike,Women in Love,2011,Saskia Reeves,2
Rosamund Pike,Women in Love,2011,Ben Daniels,2
Rosamund Pike,Women in Love,2011,Olivia Grant,2
Rosamund Pike,Women in Love,2011,Grant Swanby,2
Rosamund Pike,Women in Love,2011,Rory Kinnear,2
Rosamund Pike,Women in Love,2011,Joseph Mawle,2
Rosamund Pike,Women in Love,2011,Rosamund Pike,2
Tom Hardy,Wuthering Heights,2009,Tom Hardy,2
Tom Hardy,Wuthering Heights,2009,Sarah Lancashire,2
Tom Hardy,Wuthering Heights,2009,Barnaby Kay,2
Tom Hardy,Wuthering Heights,2009,Charlotte Riley,2
Tom Hardy,Wuthering Heights,2009,Andrew Lincoln,2
Tom Hardy,Wuthering Heights,2009,Des McAleer,2
Tom Hardy,Wuthering Heights,2009,Kevin McNally,2
Tom Hardy,Wuthering Heights,2009,Burn Gorman,2
Tom Hardy,Wuthering Heights,2009,Rebecca Night,2
Benedict Cumberbatch,WWI's Tunnels of Death The Big Dig,2012,Peter Doyle,2
Benedict Cumberbatch,WWI's Tunnels of Death The Big Dig,2012,Paul Reed,2
Benedict Cumberbatch,WWI's Tunnels of Death The Big Dig,2012,Alexandra Churchill,2
Benedict Cumberbatch,WWI's Tunnels of Death The Big Dig,2012,Benedict Cumberbatch,2
Bryan Cranston,American Dad!,2005,Jeff Fischer,3
Bryan Cranston,American Dad!,2005,Wendy Schaal,3
Bryan Cranston,American Dad!,2005,Scott Grimes,3
Bryan Cranston,American Dad!,2005,Patrick Stewart,3
Bryan Cranston,American Dad!,2005,Seth MacFarlane,3
Bryan Cranston,American Dad!,2005,Rachael MacFarlane,3
Bryan Cranston,American Dad!,2005,Dee Bradley Baker,3
Bryan Cranston,American Dad!,2005,Curtis Armstrong,3
Bryan Cranston,American Dad!,2005,Mike Barker,3
Daniel Kaluuya,Cities: Nature's New Wild,2018,Daniel Kaluuya,3
Brie Larson,Community,2009,Gillian Jacobs,3
Brie Larson,Community,2009,Alison Brie,3
Brie Larson,Community,2009,Joel McHale,3
Brie Larson,Community,2009,Danny Pudi,3
Brie Larson,Community,2009,Ken Jeong,3
Benedict Cumberbatch,Dunkirk,2004,Benedict Cumberbatch,3
Benedict Cumberbatch,Dunkirk,2004,Simon Russell Beale,3
Benedict Cumberbatch,Dunkirk,2004,Timothy Dalton,3
Benedict Cumberbatch,Dunkirk,2004,read the rest.,3
Benedict Cumberbatch,Dunkirk,2004,Ricci Harnett,3
Benedict Cumberbatch,Dunkirk,2004,Phil Cornwell,3
Allison Janney,Family Guy,1999,Alex Borstein,3
Allison Janney,Family Guy,1999,Seth Green,3
Allison Janney,Family Guy,1999,Seth MacFarlane,3
Allison Janney,Family Guy,1999,Mila Kunis,3
Allison Janney,Family Guy,1999,Mike Henry,3
Ruth Negga,Five Daughters,2010,Jaime Winstone,3
Ruth Negga,Five Daughters,2010,Vicky McClure,3
Ruth Negga,Five Daughters,2010,Sarah Lancashire,3
Ruth Negga,Five Daughters,2010,Juliet Aubrey,3
Ruth Negga,Five Daughters,2010,Adam Kotz,3
Ruth Negga,Five Daughters,2010,Natalie Press,3
Ruth Negga,Five Daughters,2010,Eva Birthistle,3
Ruth Negga,Five Daughters,2010,Christopher Fairbank,3
Ruth Negga,Five Daughters,2010,Ian Hart,3
Bryan Cranston,How I Met Your Mother,2005,Ashley Williams,3
Bryan Cranston,How I Met Your Mother,2005,Alyson Hannigan,3
Bryan Cranston,How I Met Your Mother,2005,Charlene Amoia,3
Bryan Cranston,How I Met Your Mother,2005,Josh Radnor,3
Bryan Cranston,How I Met Your Mother,2005,Wayne Brady,3
Bryan Cranston,How I Met Your Mother,2005,Jason Segel,3
Bryan Cranston,How I Met Your Mother,2005,Neil Patrick Harris,3
Bryan Cranston,How I Met Your Mother,2005,Cobie Smulders,3
Bryan Cranston,How I Met Your Mother,2005,Cristin Milioti,3
Benedict Cumberbatch,Into the Universe with Stephen Hawking,2010,Melissa Ricci,3
Benedict Cumberbatch,Into the Universe with Stephen Hawking,2010,Stephen Hawking,3
Benedict Cumberbatch,Into the Universe with Stephen Hawking,2010,Benedict Cumberbatch,3
