web-scraper-order,web-scraper-start-url,productlink,productlink-href,productname,productprice,color
"1575164054-6904","https://www.zara.com/us/en/man-blazers-l608.html?v1=1282795","DOUBLE BREASTED TEXTURED WEAVE BLAZER","https://www.zara.com/us/en/double-breasted-textured-weave-blazer-p00706376.html","DOUBLE BREASTED TEXTURED WEAVE BLAZER Details","119.00 USD","Black"
"1575164026-6892","https://www.zara.com/us/en/man-blazers-l608.html?v1=1282795","TUXEDO JACKET","https://www.zara.com/us/en/tuxedo-jacket-p05662655.html","TUXEDO JACKET Details","199.00 USD","Navy blue"
"1575163920-6843","https://www.zara.com/us/en/man-blazers-l608.html?v1=1282795","STRETCH SHEEN SUIT JACKET","https://www.zara.com/us/en/stretch-sheen-suit-jacket-p01564400.html","STRETCH SHEEN SUIT JACKET Details","119.00 USD","Gray"
"1575164117-6933","https://www.zara.com/us/en/man-blazers-l608.html?v1=1282795","SUPER SKINNY FIT JACKET","https://www.zara.com/us/en/super-skinny-fit-jacket-p09621376.html","SUPER SKINNY FIT JACKET Details","129.00 USD","Black"
"1575163993-6877","https://www.zara.com/us/en/man-blazers-l608.html?v1=1282795","PLAID WAISTCOAT","https://www.zara.com/us/en/plaid-waistcoat-p03057311.html","PLAID WAISTCOAT Details","89.90 USD","Blue"
"1575164059-6906","https://www.zara.com/us/en/man-blazers-l608.html?v1=1282795","TEXTURED SUIT JACKET","https://www.zara.com/us/en/textured-suit-jacket-p05556700.html","TEXTURED SUIT JACKET Details","null","Burgundy"
"1575164134-6941","https://www.zara.com/us/en/man-blazers-l608.html?v1=1282795","CONTRASTING VELVET BLAZER","https://www.zara.com/us/en/contrasting-velvet-blazer-p08245352.html","CONTRASTING VELVET BLAZER Details","149.00 USD","Eggplant"
"1575164044-6899","https://www.zara.com/us/en/man-blazers-l608.html?v1=1282795","TEXTURED PLAID BLAZER","https://www.zara.com/us/en/textured-plaid-blazer-p00706383.html","TEXTURED PLAID BLAZER Details","129.00 USD","Sand / Blue"
"1575164039-6897","https://www.zara.com/us/en/man-blazers-l608.html?v1=1282795","STRETCH KNIT PLAID SUIT JACKET","https://www.zara.com/us/en/stretch-knit-plaid-suit-jacket-p06861337.html","STRETCH KNIT PLAID SUIT JACKET Details","119.00 USD","Anthracite Gray"
"1575163997-6879","https://www.zara.com/us/en/man-blazers-l608.html?v1=1282795","PLAID SUIT JACKET","https://www.zara.com/us/en/plaid-suit-jacket-p05781842.html","PLAID SUIT JACKET Details","149.00 USD","Gray"
"1575164001-6881","https://www.zara.com/us/en/man-blazers-l608.html?v1=1282795","TEXTURED SUIT JACKET","https://www.zara.com/us/en/textured-suit-jacket-p01564344.html","TEXTURED SUIT JACKET Details","149.00 USD","Navy blue"
"1575163913-6840","https://www.zara.com/us/en/man-blazers-l608.html?v1=1282795","STRETCH SUIT VEST WITH SHEEN","https://www.zara.com/us/en/stretch-suit-vest-with-sheen-p01564402.html","STRETCH SUIT VEST WITH SHEEN Details","49.90 USD","Black"
"1575163909-6831","https://www.zara.com/us/en/man-blazers-l608.html?v1=1282795","null","","","",""
"1575163986-6874","https://www.zara.com/us/en/man-blazers-l608.html?v1=1282795","BIRDSEYE TEXTURED BLAZER","https://www.zara.com/us/en/birdseye-textured-blazer-p01564420.html","BIRDSEYE TEXTURED BLAZER Details","149.00 USD","Burgundy"
"1575164132-6940","https://www.zara.com/us/en/man-blazers-l608.html?v1=1282795","TUXEDO JACKET","https://www.zara.com/us/en/tuxedo-jacket-p01564360.html","TUXEDO JACKET Details","149.00 USD","Black"
"1575164037-6896","https://www.zara.com/us/en/man-blazers-l608.html?v1=1282795","TRAVELER SUIT JACKET","https://www.zara.com/us/en/traveler-suit-jacket-p09621358.html","TRAVELER SUIT JACKET Details","119.00 USD","Bluish"
"1575163909-6826","https://www.zara.com/us/en/man-blazers-l608.html?v1=1282795","null","","","",""
"1575163946-6856","https://www.zara.com/us/en/man-blazers-l608.html?v1=1282795","ARMY JACKET WITH POCKETS","https://www.zara.com/us/en/army-jacket-with-pockets-p05610645.html","ARMY JACKET WITH POCKETS Details","149.00 USD","Camel"
"1575163974-6869","https://www.zara.com/us/en/man-blazers-l608.html?v1=1282795","TEXTURED 4 WAYS STRETCH KNIT SUIT JACKET","https://www.zara.com/us/en/textured-4-ways-stretch-knit-suit-jacket-p05635635.html","TEXTURED 4 WAYS STRETCH KNIT SUIT JACKET Details","129.00 USD","Camel"
"1575164028-6893","https://www.zara.com/us/en/man-blazers-l608.html?v1=1282795","TEXTURED TWO-TONE BLAZER","https://www.zara.com/us/en/textured-two-tone-blazer-p00706381.html","TEXTURED TWO-TONE BLAZER Details","119.00 USD","Light gray"
"1575163909-6829","https://www.zara.com/us/en/man-blazers-l608.html?v1=1282795","null","","","",""
"1575164010-6885","https://www.zara.com/us/en/man-blazers-l608.html?v1=1282795","STRETCH SHEEN SUIT JACKET","https://www.zara.com/us/en/stretch-sheen-suit-jacket-p00706220.html","STRETCH SHEEN SUIT JACKET Details","null","Gray"
"1575164021-6890","https://www.zara.com/us/en/man-blazers-l608.html?v1=1282795","CONTRAST COLLAR BLAZER","https://www.zara.com/us/en/contrast-collar-blazer-p05676675.html","CONTRAST COLLAR BLAZER Details","149.00 USD","Bluish"
"1575164104-6927","https://www.zara.com/us/en/man-blazers-l608.html?v1=1282795","PLAID FLANNEL SUIT JACKET","https://www.zara.com/us/en/plaid-flannel-suit-jacket-p06361729.html","PLAID FLANNEL SUIT JACKET Details","199.00 USD","Anthracite Gray"
"1575163922-6844","https://www.zara.com/us/en/man-blazers-l608.html?v1=1282795","LINEN VEST","https://www.zara.com/us/en/linen-vest-p05502301.html","LINEN VEST Details","69.90 USD","Natural"
"1575163995-6878","https://www.zara.com/us/en/man-blazers-l608.html?v1=1282795","PLAID SUIT JACKET","https://www.zara.com/us/en/plaid-suit-jacket-p03057310.html","PLAID SUIT JACKET Details","199.00 USD","Blue"
