date,Brand,Sub_Category,Description,group
11/10/20,Paloma Wool,jumpsuit,Front-zip corduroy,Rompers & Jumpsuits
11/11/20,Madewell,jeans,High-waisted wide-leg,Jeans
11/11/20,,shirt,Striped western-style,
11/11/20,J. Crew,jacket,Denim,Jackets
11/12/20,Madewell,jeans,Demi-boot,Jeans
11/12/20,The Reformation,tee,Long-sleeved cathedral print mock-neck,Knit Tops
11/12/20,Aritzia,coat,Wool plaid,Coats
11/13/20,The Reformation,jeans,Saddle,Jeans
11/13/20,,shirt,Striped,Woven Tops
11/13/20,Aritzia,coat,Wool plaid,Coats
11/14/20,Madewell,jeans,Demi-boot,Jeans
11/14/20,Monogram,sweatshirt,Club sandwich graphic,Sweaters & Sweatshirts
11/14/20,Aritzia,coat,Wool plaid,Coats
11/15/20,Madewell,jeans,High-waisted wide-leg,Jeans
11/15/20,Madewell,sweater,Textured yarn,Sweaters & Sweatshirts
11/15/20,Aritzia,coat,Wool plaid,Coats
11/16/20,Madewell,jeans,Wide-leg button-fly,Jeans
11/16/20,Uniqlo,sweater,Ribbed turtleneck,Sweaters & Sweatshirts
11/16/20,Aritzia,coat,Wool plaid,Coats
11/17/20,Madewell,jeans,High-waisted wide-leg,Jeans
11/17/20,Aritzia,tank,sweater bustier,Knit Tops
11/17/20,Aritzia,sweater,Boxy cardigan,Sweaters & Sweatshirts
11/17/20,Aritzia,coat,Wool plaid,Coats
11/18/20,Madewell,jeans,Demi-boot,Jeans
11/18/20,The Reformation,sweatshirt,Tie-dyed half-zip,Sweaters & Sweatshirts
11/18/20,Aritzia,coat,Wool plaid,Coats
11/19/20,Madewell,jeans,Wide-leg button-fly,Jeans
11/19/20,Leset,top,Long-sleeved wrap,Knit Tops
11/19/20,Aritzia,coat,Wool plaid,Coats
11/20/20,The Reformation,jeans,Saddle,Jeans
11/20/20,Aritzia,tank,sweater bustier,Knit Tops
11/20/20,Aritzia,sweater,Boxy cardigan,Sweaters & Sweatshirts
