CAMPUS_NAME,WALK_COUNT,CITY,STATE,ZIPCODE,LATITUDE,LONGITUDE
Ohio State University-Main Campus,3,Columbus,OH,43210,40,-83.01
Bluefield State College,1,Bluefield,WV,24701,37.27,-81.12
Keiser University-Ft Lauderdale,1,Fort Lauderdale,FL,33309,26.19,-80.16
Pacific University- Forest Grove,4,Forest Grove,OR,97116,45.52,-123.11
Albertus Magnus College,1,New Haven,CT,6511,41.33,-72.92
Fox Valley Technical College- Oshkosh Riverside,1,Oshkosh,WI,54902,44.02,-88.55
Bluffton University,1,Bluffton,OH,45817,40.9,-83.9
Temple College,2,Temple,TX,76504,31.07,-97.35
Ball State University,1,Muncie,IN,47306,40.2,-85.41
Polytechnic University of Puerto Rico-Orlando,1,Orlando,FL,32825,28.55,-81.25
Pennsylvania State University-Penn State Greater Allegheny,1,McKeesport,PA,15132,40.34,-79.83
Morton College,1,Cicero,IL,60804,41.82,-87.76
The Chicago School of Professional Psychology at Washington DC,1,Washington,DC,20005,38.9,-77.03
University of Florida- Orlando (Pharmacy),2,Orlando,FL,32827,28.37,-81.29
Northeast Wisconsin Technical College- Green Bay (Main),1,Green Bay,WI,54303,44.53,-88.11
Indiana University-Kokomo,1,Kokomo,IN,46902,40.46,-86.13
University of Bridgeport - Stamford,1,Bridgeport,CT,6604,41.16,-73.19
Monroe Community College - Brighton Campus (Main),1,Rochester,NY,14623,43.1,-77.61
Cerro Coso Community College,1,Ridgecrest,CA,93555,35.57,-117.67
Des Moines Area Community College- West Des Moines,1,West Des Moines,IA,50266,41.54,-93.79
GateWay Community College,1,Phoenix,AZ,85034,33.45,-112
North Greenville University - (Main),1,Tigerville,SC,29688,35.07,-82.37
University of Tulsa,1,Tulsa,OK,74104,36.15,-95.95
Avila University,1,Kansas City,MO,64145,38.91,-94.59
Wheaton College,2,Wheaton,IL,60187,41.87,-88.1
Des Moines Area Community College- Ankeny (Main),1,Ankeny,IA,50023,41.75,-93.6
Pennsylvania College of Art and Design,3,Lancaster,PA,17603,40.04,-76.31
