date,week,day,Brand,Sub_Category,Description,group,garmentId,new,hex1,hex2,hex3,hex4,hex5,sold
1/18/2021,16,1,Madewell,jeans,Wide-leg button-fly,Jeans,102,N,#778ca1,#657a91,#50657c,#8d9eb0,#37485e,
1/18/2021,16,1,Uniqlo,sweater,Ribbed turtleneck,Sweaters & Sweatshirts,315,N,#000001,#000002,#010203,#05060a,#020204,
1/18/2021,16,1,The North Face,coat,Long quilted,Coats,408,N,#14171a,#010202,#090a0e,#2a2c30,#383a3d,
1/19/2021,16,2,The Reformation,jeans,Saddle,Jeans,106,Y,#121b2a,#526479,#374556,#6e7f94,#a4aeb9,
1/19/2021,16,2,Flat File,tee,Matisse graphic,Knit Tops,302,N,#f4f5f6,#e4e4e5,#465380,#bdc97f,#e1704f,
1/19/2021,16,2,Aritzia,coat,Wool plaid,Coats,405,N,#311514,#221e27,#524b50,#947e76,#614845,
1/20/2021,16,3,Madewell,jeans,Straight-leg,Jeans,101,N,#526378,#3a4c65,#233044,#7d8a98,#b2b6b8,Y
1/20/2021,16,3,The Reformation,tee,Long-sleeved seamed turtleneck,Knit Tops,327,Y,#f0f1f0,#ebecec,#e6e6e6,#ccc1ba,#f5f7f6,
1/20/2021,16,3,,shawl,Houndstooth blanket,Jackets,403,N,#020201,#5e160a,#721c0f,#290603,#480f06,
1/20/2021,16,3,Aritzia,coat,Wool plaid,Coats,405,N,#311514,#221e27,#524b50,#947e76,#614845,
1/21/2021,16,4,Madewell,jeans,Skinny,Jeans,103,N,#000000,#000202,#1c1e20,#323134,#4e4d4d,Y
1/21/2021,16,4,Madewell,sweatshirt,Cropped quilted,Sweaters & Sweatshirts,317,N,#292d35,#1f222b,#030306,#32363d,#3d4048,Y
1/21/2021,16,4,The North Face,coat,Long quilted,Coats,408,N,#14171a,#010202,#090a0e,#2a2c30,#383a3d,
1/22/2021,16,5,Madewell,jeans,Wide-leg button-fly,Jeans,102,N,#778ca1,#657a91,#50657c,#8d9eb0,#37485e,
1/22/2021,16,5,Aritzia,sweater,Boxy cardigan,Sweaters & Sweatshirts,321,Y,#c4b4a6,#b6a598,#d0c2b4,#9d8d80,#675b52,
1/22/2021,16,5,Mango,bra top,Sweater,Knit Tops,323,N,#281c18,#040202,#190e0b,#372a25,#483e3c,
1/22/2021,16,5,Aritzia,coat,Wool plaid,Coats,405,N,#311514,#221e27,#524b50,#947e76,#614845,
1/23/2021,16,6,Paloma Wool,jumpsuit,Front-zip corduroy,Rompers & Jumpsuits,201,N,#1c4349,#15343a,#285a60,#32676c,#6d6b67,
1/23/2021,16,6,Uniqlo,sweater,Ribbed turtleneck,Sweaters & Sweatshirts,315,N,#000001,#000002,#010203,#05060a,#020204,
1/23/2021,16,6,Aritzia,coat,Wool plaid,Coats,405,N,#311514,#221e27,#524b50,#947e76,#614845,
1/24/2021,16,7,Madewell,jeans,Demi-boot,Jeans,108,N,#2b2c35,#020305,#1a1c27,#3e4047,#5c5e64,Y
1/24/2021,16,7,Monogram,sweatshirt,Club sandwich graphic,Sweaters & Sweatshirts,313,N,#020404,#656155,#2a2a26,#9d9c85,#c0c5c8,
1/24/2021,16,7,,shawl,Houndstooth blanket,Jackets,403,N,#020201,#5e160a,#721c0f,#290603,#480f06,
1/24/2021,16,7,Aritzia,coat,Wool plaid,Coats,405,N,#311514,#221e27,#524b50,#947e76,#614845,
1/25/2021,17,1,Madewell,jeans,High-waisted wide-leg,Jeans,105,Y,#000003,#05060d,#0c0e16,#161a22,#30323b,
1/25/2021,17,1,Leset,top,Long-sleeved wrap,Knit Tops,307,Y,#172c1e,#102417,#0c1d0f,#010303,#333837,
1/25/2021,17,1,Aritzia,coat,Wool plaid,Coats,405,N,#311514,#221e27,#524b50,#947e76,#614845,
1/26/2021,17,2,Madewell,jeans,Skinny,Jeans,103,N,#000000,#000202,#1c1e20,#323134,#4e4d4d,Y
1/26/2021,17,2,The Reformation,sweatshirt,Tie-dyed half-zip,Sweaters & Sweatshirts,310,N,#d9dbe3,#eae9f0,#c8d0db,#e2e3ea,#bec0c8,
1/26/2021,17,2,Muji,tank,Ribbed striped ,Knit Tops,324,N,#020406,#999a9d,#d0cfd4,#24262c,#dad9df,Y
1/26/2021,17,2,Aritzia,coat,Wool plaid,Coats,405,N,#311514,#221e27,#524b50,#947e76,#614845,
1/27/2021,17,3,The Reformation,jeans,Saddle,Jeans,106,Y,#121b2a,#526479,#374556,#6e7f94,#a4aeb9,
1/27/2021,17,3,H & M,tank,Ribbed halter,Knit Tops,312,N,#e8e9e9,#dfe0df,#d1d1d1,#c1c0c1,#a7a7a5,
1/27/2021,17,3,Aritzia,sweater,Boxy cardigan,Sweaters & Sweatshirts,321,Y,#c4b4a6,#b6a598,#d0c2b4,#9d8d80,#675b52,
1/27/2021,17,3,Aritzia,coat,Wool plaid,Coats,405,N,#311514,#221e27,#524b50,#947e76,#614845,
1/28/2021,17,4,Madewell,jeans,High-waisted wide-leg,Jeans,105,Y,#000003,#05060d,#0c0e16,#161a22,#30323b,
1/28/2021,17,4,The Reformation,tee,Long-sleeved cathedral print mock-neck,Knit Tops,308,N,#5b6278,#828899,#454d62,#989ca9,#d8d7d8,
1/28/2021,17,4,,shawl,Houndstooth blanket,Jackets,403,N,#020201,#5e160a,#721c0f,#290603,#480f06,
1/28/2021,17,4,Aritzia,coat,Wool plaid,Coats,405,N,#311514,#221e27,#524b50,#947e76,#614845,
1/29/2021,17,5,Madewell,jeans,Wide-leg button-fly,Jeans,102,N,#778ca1,#657a91,#50657c,#8d9eb0,#37485e,
1/29/2021,17,5,Uniqlo,sweater,Ribbed turtleneck,Sweaters & Sweatshirts,315,N,#000001,#000002,#010203,#05060a,#020204,
1/29/2021,17,5,Aritzia,coat,Wool plaid,Coats,405,N,#311514,#221e27,#524b50,#947e76,#614845,
1/30/2021,17,6,Madewell,jeans,Skinny,Jeans,103,N,#000000,#000202,#1c1e20,#323134,#4e4d4d,Y
1/30/2021,17,6,Madewell,sweatshirt,Cropped quilted,Sweaters & Sweatshirts,317,N,#292d35,#1f222b,#030306,#32363d,#3d4048,Y
1/30/2021,17,6,The North Face,coat,Long quilted,Coats,408,N,#14171a,#010202,#090a0e,#2a2c30,#383a3d,
1/31/2021,17,7,Madewell,jeans,Demi-boot,Jeans,108,N,#2b2c35,#020305,#1a1c27,#3e4047,#5c5e64,Y
1/31/2021,17,7,Monogram,sweatshirt,Club sandwich graphic,Sweaters & Sweatshirts,313,N,#020404,#656155,#2a2a26,#9d9c85,#c0c5c8,
1/31/2021,17,7,The North Face,coat,Long quilted,Coats,408,N,#14171a,#010202,#090a0e,#2a2c30,#383a3d,
2/1/2021,18,1,Madewell,jeans,High-waisted wide-leg,Jeans,105,Y,#000003,#05060d,#0c0e16,#161a22,#30323b,
2/1/2021,18,1,Madewell,sweater,Textured yarn,Sweaters & Sweatshirts,320,N,#9e7e89,#7d616c,#39353d,#66646a,#d7d5d7,Y
2/1/2021,18,1,The North Face,coat,Long quilted,Coats,408,N,#14171a,#010202,#090a0e,#2a2c30,#383a3d,
2/2/2021,18,2,Madewell,jeans,Skinny,Jeans,103,N,#000000,#000202,#1c1e20,#323134,#4e4d4d,Y
2/2/2021,18,2,Madewell,sweatshirt,Cropped quilted,Sweaters & Sweatshirts,317,N,#292d35,#1f222b,#030306,#32363d,#3d4048,Y
2/3/2021,18,3,Madewell,jeans,Wide-leg button-fly,Jeans,102,N,#778ca1,#657a91,#50657c,#8d9eb0,#37485e,
2/3/2021,18,3,H & M,tank,Ribbed halter,Knit Tops,312,N,#e8e9e9,#dfe0df,#d1d1d1,#c1c0c1,#a7a7a5,
2/3/2021,18,3,Aritzia,sweater,Boxy cardigan,Sweaters & Sweatshirts,321,Y,#c4b4a6,#b6a598,#d0c2b4,#9d8d80,#675b52,
2/3/2021,18,3,Aritzia,coat,Wool plaid,Coats,405,N,#311514,#221e27,#524b50,#947e76,#614845,
2/4/2021,18,4,Madewell,jeans,High-waisted wide-leg,Jeans,105,Y,#000003,#05060d,#0c0e16,#161a22,#30323b,
2/4/2021,18,4,Everlane,shirt,Cotton button-down,Woven Tops,325,Y,#eef1f2,#e4e7e8,#f9fafa,#efefef,#eaeaea,
