actor,show,year,top_cast,episodes
Benedict Cumberbatch,Agatha Christie's Marple,2004,Hugo Speer,1
Benedict Cumberbatch,Agatha Christie's Marple,2004,Shirley Henderson,1
Benedict Cumberbatch,Cambridge Spies,2003,Samuel West,1
Benedict Cumberbatch,Cambridge Spies,2003,Toby Stephens,1
Benedict Cumberbatch,Cambridge Spies,2003,Tom Hollander,1
Benedict Cumberbatch,Cambridge Spies,2003,Anna-Louise Plowman,1
Benedict Cumberbatch,Jimmy Kimmel Live!,2003,George Lopez,1
Benedict Cumberbatch,Jimmy Kimmel Live!,2003,Anthony Anderson,1
Benedict Cumberbatch,Cambridge Spies,2003,Imelda Staunton,1
Benedict Cumberbatch,Jimmy Kimmel Live!,2003,Xzibit,1
Benedict Cumberbatch,Jimmy Kimmel Live!,2003,Dicky Barrett,1
Benedict Cumberbatch,Cambridge Spies,2003,Stuart Laing,1
Benedict Cumberbatch,Cambridge Spies,2003,Ronald Pickup,1
Benedict Cumberbatch,Jimmy Kimmel Live!,2003,Adam Carolla,1
Benedict Cumberbatch,Jimmy Kimmel Live!,2003,Andy Dick,1
Benedict Cumberbatch,Cambridge Spies,2003,Rupert Penry-Jones,1
Benedict Cumberbatch,Jimmy Kimmel Live!,2003,Jimmy Kimmel,1
Benedict Cumberbatch,Jimmy Kimmel Live!,2003,Jamie Kennedy,1
Benedict Cumberbatch,Jimmy Kimmel Live!,2003,Dane Cook,1
Benedict Cumberbatch,Cambridge Spies,2003,Patrick Kennedy,1
Benedict Cumberbatch,Spooks,2002,Peter Firth,1
Benedict Cumberbatch,Spooks,2002,Hermione Norris,1
Benedict Cumberbatch,Spooks,2002,Hugh Simon,1
Benedict Cumberbatch,Spooks,2002,Anna Chancellor,1
Benedict Cumberbatch,Spooks,2002,David Oyelowo,1
Benedict Cumberbatch,Spooks,2002,Nicola Walker,1
Benedict Cumberbatch,Spooks,2002,Miranda Raison,1
Benedict Cumberbatch,Spooks,2002,Rupert Penry-Jones,1
Benedict Cumberbatch,Spooks,2002,Keeley Hawes,1
Benedict Cumberbatch,The View,1997,Lisa Ling,1
Benedict Cumberbatch,The View,1997,Whoopi Goldberg,1
Benedict Cumberbatch,The View,1997,Star Jones,1
Benedict Cumberbatch,The View,1997,Meredith Vieira,1
Benedict Cumberbatch,The View,1997,Sherri Shepherd,1
Benedict Cumberbatch,The View,1997,Barbara Walters,1
Benedict Cumberbatch,The View,1997,Joy Behar,1
Benedict Cumberbatch,The View,1997,Elisabeth Hasselbeck,1
Benedict Cumberbatch,The View,1997,Debbie Matenopoulos,1
Benedict Cumberbatch,The Daily Show with Trevor Noah,1996,Samantha Bee,1
Benedict Cumberbatch,The Daily Show with Trevor Noah,1996,John Bloom,1
Benedict Cumberbatch,The Daily Show with Trevor Noah,1996,Wyatt Cenac,1
Benedict Cumberbatch,The Daily Show with Trevor Noah,1996,Bob Wiltfong,1
Benedict Cumberbatch,The Daily Show with Trevor Noah,1996,Jerry Minor,1
Benedict Cumberbatch,The Daily Show with Trevor Noah,1996,Jon Stewart,1
Benedict Cumberbatch,The Daily Show with Trevor Noah,1996,Brian Unger,1
Benedict Cumberbatch,The Daily Show with Trevor Noah,1996,Adrianne Frost,1
Benedict Cumberbatch,The Daily Show with Trevor Noah,1996,Frank DeCaro,1
