actor,show,year,top_cast,episodes
Margot Robbie,Pan Am,2011,Mike Vogel,14
Margot Robbie,Pan Am,2011,Karine Vanasse,14
Margot Robbie,Pan Am,2011,Michael Mosley,14
Margot Robbie,Pan Am,2011,Margot Robbie,14
Tom Hardy,Peaky Blinders,2013,Paul Anderson,19
Tom Hardy,Peaky Blinders,2013,Annabelle Wallis,19
Tom Hardy,Peaky Blinders,2013,Sophie Rundle,19
Tom Hardy,Peaky Blinders,2013,Finn Cole,19
Tom Hardy,Peaky Blinders,2013,Helen McCrory,19
Tom Hardy,Peaky Blinders,2013,Joe Cole,19
Tom Hardy,Peaky Blinders,2013,Cillian Murphy,19
Tom Hardy,Peaky Blinders,2013,Tom Hardy,19
Tom Hardy,Peaky Blinders,2013,Natasha O'Keeffe,19
Olivia Colman,Peep Show,2003,David Mitchell,54
Olivia Colman,Peep Show,2003,Paterson Joseph,54
Olivia Colman,Peep Show,2003,Olivia Colman,54
Olivia Colman,Peep Show,2003,Rachel Blanchard,54
Olivia Colman,Peep Show,2003,Elizabeth Marmur,54
Olivia Colman,Peep Show,2003,Robert Webb,54
Olivia Colman,Peep Show,2003,Matt King,54
Olivia Colman,Peep Show,2003,Neil Fitzmaurice,54
Olivia Colman,Peep Show,2003,Sophie Winkleman,54
Ruth Negga,Preacher,2016,Joseph Gilgun,43
Ruth Negga,Preacher,2016,Graham McTavish,43
Ruth Negga,Preacher,2016,read the rest.,43
Ruth Negga,Preacher,2016,Tom Brooke,43
Ruth Negga,Preacher,2016,Dominic Cooper,43
Ruth Negga,Preacher,2016,Anatol Yusef,43
Ruth Negga,Preacher,2016,Ruth Negga,43
Ruth Negga,Preacher,2016,Julie Ann Emery,43
Ruth Negga,Preacher,2016,Pip Torrens,43
Ruth Negga,Preacher,2016,Ian Colletti,43
Daniel Kaluuya,Psychoville,2009,Reece Shearsmith,13
Daniel Kaluuya,Psychoville,2009,Eileen Atkins,13
Daniel Kaluuya,Psychoville,2009,Christopher Biggins,13
Daniel Kaluuya,Psychoville,2009,Dawn French,13
Daniel Kaluuya,Psychoville,2009,Daniel Kaluuya,13
Daniel Kaluuya,Psychoville,2009,Debbie Chazen,13
Daniel Kaluuya,Psychoville,2009,Steve Pemberton,13
Daniel Kaluuya,Psychoville,2009,Vilma Hollingbery,13
Daniel Kaluuya,Psychoville,2009,Natalie Cassidy,13
Brie Larson,Raising Dad,2001,Meagan Good,22
Brie Larson,Raising Dad,2001,Kat Dennings,22
Brie Larson,Raising Dad,2001,Bob Saget,22
Brie Larson,Raising Dad,2001,Jerry Adler,22
Brie Larson,Raising Dad,2001,Brie Larson,22
Olivia Colman,Rev.,2010,Miles Jupp,19
Olivia Colman,Rev.,2010,Simon McBurney,19
Olivia Colman,Rev.,2010,Ellen Thomas,19
