web-scraper-order,web-scraper-start-url,productlink,productlink-href,productname,productprice,color
"1575162726-6496","https://www.zara.com/us/en/man-tshirts-l855.html?v1=1282833","POCKET T-SHIRT","https://www.zara.com/us/en/pocket-t-shirt-p05644306.html","POCKET T-SHIRT Details","25.90 USD","Black"
"1575162844-6544","https://www.zara.com/us/en/man-tshirts-l855.html?v1=1282833","BRUSHSTROKE PRINT T-SHIRT","https://www.zara.com/us/en/brushstroke-print-t-shirt-p00722330.html","BRUSHSTROKE PRINT T-SHIRT Details","29.90 USD","Black"
"1575162929-6582","https://www.zara.com/us/en/man-tshirts-l855.html?v1=1282833","PRINCE © THE PRINCE ESTATE PRINTED T-SHIRT","https://www.zara.com/us/en/prince-%C2%A9-the-prince-estate-printed-t-shirt-p01277402.html","PRINCE © THE PRINCE ESTATE PRINTED T-SHIRT Details","25.90 USD","Black"
"1575162975-6603","https://www.zara.com/us/en/man-tshirts-l855.html?v1=1282833","HAND PRINT SHIRT","https://www.zara.com/us/en/hand-print-shirt-p01165317.html","HAND PRINT SHIRT Details","17.90 USD","Gray"
"1575162869-6555","https://www.zara.com/us/en/man-tshirts-l855.html?v1=1282833","SKULL PRINT T-SHIRT","https://www.zara.com/us/en/skull-print-t-shirt-p00722333.html","SKULL PRINT T-SHIRT Details","29.90 USD","Black"
"1575162577-6428","https://www.zara.com/us/en/man-tshirts-l855.html?v1=1282833","null","","","",""
"1575162639-6457","https://www.zara.com/us/en/man-tshirts-l855.html?v1=1282833","ESSENCE TIE DYE T-SHIRT","https://www.zara.com/us/en/essence-tie-dye-t-shirt-p05643300.html","ESSENCE TIE DYE T-SHIRT Details","29.90 USD","taupe brown"
"1575162913-6575","https://www.zara.com/us/en/man-tshirts-l855.html?v1=1282833","STRUCTURED COMBINED T-SHIRT","https://www.zara.com/us/en/structured-combined-t-shirt-p04087335.html","STRUCTURED COMBINED T-SHIRT Details","35.90 USD","Khaki"
"1575162577-6401","https://www.zara.com/us/en/man-tshirts-l855.html?v1=1282833","null","","","",""
"1575162589-6435","https://www.zara.com/us/en/man-tshirts-l855.html?v1=1282833","TEXTURED TOP","https://www.zara.com/us/en/textured-top-p06462301.html","TEXTURED TOP Details","25.90 USD","White"
"1575162740-6503","https://www.zara.com/us/en/man-tshirts-l855.html?v1=1282833","PAINT PRINTED T-SHIRT","https://www.zara.com/us/en/paint-printed-t-shirt-p00495319.html","PAINT PRINTED T-SHIRT Details","29.90 USD","Black"
"1575162900-6569","https://www.zara.com/us/en/man-tshirts-l855.html?v1=1282833","SQUARE TEXTURED SHIRT WITH PIPING","https://www.zara.com/us/en/square-textured-shirt-with-piping-p00977320.html","SQUARE TEXTURED SHIRT WITH PIPING Details","35.90 USD","Anthracite grey"
"1575162672-6472","https://www.zara.com/us/en/man-tshirts-l855.html?v1=1282833","PREMIUM SHIRT WITH POCKET","https://www.zara.com/us/en/premium-shirt-with-pocket-p05372312.html","PREMIUM SHIRT WITH POCKET Details","29.90 USD","Dark tan"
"1575162728-6497","https://www.zara.com/us/en/man-tshirts-l855.html?v1=1282833","COLORBLOCK T-SHIRT","https://www.zara.com/us/en/colorblock-t-shirt-p01701302.html","COLORBLOCK T-SHIRT Details","17.90 USD","taupe brown"
"1575162577-6423","https://www.zara.com/us/en/man-tshirts-l855.html?v1=1282833","null","","","",""
