web-scraper-order,web-scraper-start-url,productlink,productlink-href,productname,productprice,color
"1575147604-4696","https://www.zara.com/us/en/woman-tshirts-l1362.html?v1=1281620","PLEATED SLEEVE TOP","https://www.zara.com/us/en/pleated-sleeve-top-p05644632.html","PLEATED SLEEVE TOP Details","29.90 USD","Black"
"1575146935-4327","https://www.zara.com/us/en/woman-tshirts-l1362.html?v1=1281620","null","","","",""
"1575147026-4423","https://www.zara.com/us/en/woman-tshirts-l1362.html?v1=1281620","LACE TOP","https://www.zara.com/us/en/lace-top-p02712301.html","LACE TOP Details","25.90 USD","Ecru"
"1575147770-4772","https://www.zara.com/us/en/woman-tshirts-l1362.html?v1=1281620","SOFT TOUCH SHIRT","https://www.zara.com/us/en/soft-touch-shirt-p05039646.html","SOFT TOUCH SHIRT Details","19.90 USD","Leopard / taupe brown"
"1575146935-4358","https://www.zara.com/us/en/woman-tshirts-l1362.html?v1=1281620","null","","","",""
"1575147750-4762","https://www.zara.com/us/en/woman-tshirts-l1362.html?v1=1281620","PLEATED COLORBLOCK TOP","https://www.zara.com/us/en/pleated-colorblock-top-p05410632.html","PLEATED COLORBLOCK TOP Details","29.90 USD","Black / Ecru"
"1575146935-4367","https://www.zara.com/us/en/woman-tshirts-l1362.html?v1=1281620","null","","","",""
"1575147536-4663","https://www.zara.com/us/en/woman-tshirts-l1362.html?v1=1281620","CONTRAST TOP","https://www.zara.com/us/en/contrast-top-p00264668.html","CONTRAST TOP Details","35.90 USD","White"
"1575147352-4576","https://www.zara.com/us/en/woman-tshirts-l1362.html?v1=1281620","TEXTURED VOLUMINOUS TOP","https://www.zara.com/us/en/textured-voluminous-top-p05039933.html","TEXTURED VOLUMINOUS TOP Details","17.90 USD","Pink"
"1575147229-4517","https://www.zara.com/us/en/woman-tshirts-l1362.html?v1=1281620","EMBROIDERED TULLE TOP","https://www.zara.com/us/en/embroidered-tulle-top-p04886453.html","EMBROIDERED TULLE TOP Details","35.90 USD","Oyster White"
"1575147797-4785","https://www.zara.com/us/en/woman-tshirts-l1362.html?v1=1281620","SLEEVE TRIM T-SHIRT","https://www.zara.com/us/en/sleeve-trim-t-shirt-p00962651.html","SLEEVE TRIM T-SHIRT Details","19.90 USD","Black"
"1575147820-4796","https://www.zara.com/us/en/woman-tshirts-l1362.html?v1=1281620","EMBROIDERED MINNIE MOUSE ©DISNEY SHIRT","https://www.zara.com/us/en/embroidered-minnie-mouse-%C2%A9disney-shirt-p04644735.html","EMBROIDERED MINNIE MOUSE ©DISNEY SHIRT Details","25.90 USD","Black / White"
"1575146935-4366","https://www.zara.com/us/en/woman-tshirts-l1362.html?v1=1281620","null","","","",""
"1575146935-4376","https://www.zara.com/us/en/woman-tshirts-l1362.html?v1=1281620","null","","","",""
"1575147756-4765","https://www.zara.com/us/en/woman-tshirts-l1362.html?v1=1281620","BASIC OVERSIZED T-SHIRT","https://www.zara.com/us/en/basic-oversized-t-shirt-p04424627.html","BASIC OVERSIZED T-SHIRT Details","17.90 USD","Charcoal"
"1575147745-4760","https://www.zara.com/us/en/woman-tshirts-l1362.html?v1=1281620","ORGANZA COLLAR T-SHIRT","https://www.zara.com/us/en/organza-collar-t-shirt-p05644472.html","ORGANZA COLLAR T-SHIRT Details","25.90 USD","Black"
"1575147144-4477","https://www.zara.com/us/en/woman-tshirts-l1362.html?v1=1281620","BETTY BOOP™ T-SHIRT","https://www.zara.com/us/en/betty-boop%E2%84%A2-t-shirt-p04644901.html","BETTY BOOP™ T-SHIRT Details","25.90 USD","Anthracite grey"
"1575147248-4526","https://www.zara.com/us/en/woman-tshirts-l1362.html?v1=1281620","TOP WITH FULL SLEEVES","https://www.zara.com/us/en/top-with-full-sleeves-p05580626.html","TOP WITH FULL SLEEVES Details","35.90 USD","White"
"1575147467-4630","https://www.zara.com/us/en/woman-tshirts-l1362.html?v1=1281620","FLORAL WASHED EFFECT T-SHIRT","https://www.zara.com/us/en/floral-washed-effect-t-shirt-p01131818.html","FLORAL WASHED EFFECT T-SHIRT Details","19.90 USD","Anthracite grey"
"1575147379-4589","https://www.zara.com/us/en/woman-tshirts-l1362.html?v1=1281620","CONTRAST SLOGAN T-SHIRT","https://www.zara.com/us/en/contrast-slogan-t-shirt-p01165453.html","CONTRAST SLOGAN T-SHIRT Details","25.90 USD","Oyster White"
"1575147600-4694","https://www.zara.com/us/en/woman-tshirts-l1362.html?v1=1281620","TOP WITH ORGANZA TRIM","https://www.zara.com/us/en/top-with-organza-trim-p05644821.html","TOP WITH ORGANZA TRIM Details","29.90 USD","Black"
"1575146999-4410","https://www.zara.com/us/en/woman-tshirts-l1362.html?v1=1281620","TEXTURED TOP","https://www.zara.com/us/en/textured-top-p00264903.html","TEXTURED TOP Details","29.90 USD","Black"
"1575147383-4591","https://www.zara.com/us/en/woman-tshirts-l1362.html?v1=1281620","LOONEY TUNES © &™ WARNER BROS. T-SHIRT","https://www.zara.com/us/en/looney-tunes-%C2%A9--%E2%84%A2-warner-bros--t-shirt-p00962634.html","LOONEY TUNES © &™ WARNER BROS. T-SHIRT Details","25.90 USD","Charcoal"
"1575147785-4779","https://www.zara.com/us/en/woman-tshirts-l1362.html?v1=1281620","BASIC V-NECK T-SHIRT","https://www.zara.com/us/en/basic-v-neck-t-shirt-p04424154.html","BASIC V-NECK T-SHIRT Details","9.90 USD","beige"
"1575146935-4361","https://www.zara.com/us/en/woman-tshirts-l1362.html?v1=1281620","null","","","",""
"1575147687-4734","https://www.zara.com/us/en/woman-tshirts-l1362.html?v1=1281620","LACE TOP","https://www.zara.com/us/en/lace-top-p02712912.html","LACE TOP Details","25.90 USD","Silver"
"1575147482-4637","https://www.zara.com/us/en/woman-tshirts-l1362.html?v1=1281620","RUFFLE HEM T-SHIRT","https://www.zara.com/us/en/ruffle-hem-t-shirt-p00858629.html","RUFFLE HEM T-SHIRT Details","19.90 USD","White"
"1575147331-4566","https://www.zara.com/us/en/woman-tshirts-l1362.html?v1=1281620","VOLUMINOUS TOP","https://www.zara.com/us/en/voluminous-top-p01131801.html","VOLUMINOUS TOP Details","35.90 USD","Black"
"1575147266-4535","https://www.zara.com/us/en/woman-tshirts-l1362.html?v1=1281620","EMBROIDERED PRINT T-SHIRT","https://www.zara.com/us/en/embroidered-print-t-shirt-p05644628.html","EMBROIDERED PRINT T-SHIRT Details","19.90 USD","Black / White"
