ypos,Brand,Primary_Color,Secondary_Color,Pattern,Pattern_ID,group_ID,group,Category,Sub_Category,group_y,Worn,Description,Year_Entered,Era,Gifted,Vintage,Online_Purchase,Traveling_Purchase,Quarantine_Purchase,Era_Date_Start,Era_End_Date,Notes
15,Marimekko,#FFFFFF,#889bba,Y,12,7,Rompers & Jumpsuits,Dresses & Jumpsuits,overalls,4,N,Striped Marimekko,2016,"Hangzhou, China",N,Y,N,Y,N,"September, 2014","July, 2016",Kyoto has surprisingly good vintage shopping
16,,#54638c,,N,,7,Rompers & Jumpsuits,Dresses & Jumpsuits,overalls,5,N,Short,2016,"Hangzhou, China",N,Y,N,Y,N,"September, 2014","July, 2016","First purchase in Tokyo, right after I dyed my hair pink"
22,Neiman Marcus,#a57e56,,N,,7,Rompers & Jumpsuits,Dresses & Jumpsuits,jumpsuit,6,N,sweater,2017,"The Orme School, Mayer, AZ",Y,Y,N,N,N,"September, 2016","June, 2019",Steven found this in a thrift store in a tiny high-desert town in Arizona and it fits perfectly!
23,,#f861b7,,N,,7,Rompers & Jumpsuits,Dresses & Jumpsuits,jumpsuit,7,N,Sleeveless,2018,"The Orme School, Mayer, AZ",N,Y,N,Y,N,"September, 2016","June, 2019",Got this when I was pregnant and just starting to show
25,Paloma Wool,#1e737c,,N,,7,Rompers & Jumpsuits,Dresses & Jumpsuits,jumpsuit,1,Y,Front-zip corduroy,2019,"Roslindale, MA",Y,N,Y,N,N,"June, 2019","June, 2020",Always looking for an excuse to wear this
1,Emilio de le Morena,#000000,,N,,,Sets,Sets,suit,1,N,Short & Vest,2013,Los Angeles,N,Y,N,N,N,"June, 2011","June, 2014",This allegedly once belonged to a tiny French model in the 70s
2,,#2b3258,#faa521,Y,20,,Sets,Sets,set,2,N,Floral shirt & Skirt,2019,"Roslindale, MA",N,Y,N,N,N,"June, 2019","June, 2020",I always wear these pieces separately; they're better on their own
1,Topshop,#ff4138,,N,,,Shorts & Skirts,Bottoms,shorts,1,N,High-waisted sailor,2009,"Study Abroad, London",N,N,N,N,N,"August, 2009","June, 2010",I could spend all day in the Topshop in Oxford Circus
2,,#006e5f,#f0a605,Y,1,,Shorts & Skirts,Bottoms,shorts,2,N,Color-block knit,2010,"Senior Year, Middlebury College",Y,Y,N,Y,N,10-Sep,"May, 2011","These shorts are only really suitable for parties and music festivals, but they are so special that I can't give them up yet"
14,Cashmere in Love,#cc0d16,#000000,Y,5,,Shorts & Skirts,Bottoms,shorts,3,N,High-waisted sweater,2020,"Roslindale, MA",Y,N,Y,N,Y,"June, 2019","June, 2020",Gift from Steven for Mother's Day
15,Lett,#000000,,N,,,Shorts & Skirts,Bottoms,shorts,4,N,Ribbed bike,2020,"Roslindale, MA",N,N,Y,N,Y,"June, 2019","June, 2020",In the summer I wear these almost every day
3,Karl Lagerfeld,#000000,,N,,,Shorts & Skirts,Bottoms,skirt,5,N,Pleated,2010,"Senior Year, Middlebury College",Y,Y,N,N,N,10-Sep,"May, 2011",My mom used to wear this on dates with my dad!
5,J. Crew,#595739,,N,,,Shorts & Skirts,Bottoms,skirt,6,N,Zip-front mini,2013,Los Angeles,Y,N,N,N,N,"June, 2011","June, 2014","Still can't really fit into this, but it's lovely so I'm holding out hope"
6,Zara,#000000,,N,,,Shorts & Skirts,Bottoms,skirt,7,N,Corduroy mini,2015,"Hangzhou, China",N,N,N,N,N,"September, 2014","July, 2016",Part of a NYE outfit
11,,#fd9878,#f7d360,Y,4,,Shorts & Skirts,Bottoms,skort,8,N,Hawaiian wrap,2017,"The Orme School, Mayer, AZ",N,Y,N,Y,N,"September, 2016","June, 2019",Kooky Kansas City find
2,,#938c82,#000000,Y,21,8,Sweaters & Sweatshirts,Tops,sweater,1,N,Geometric Lurex,2008,"Freshman Year, Middlebury College",N,Y,N,Y,N,"September, 2006","May, 2008",NYC vintage stop en route to Europe
3,Chanel,#7690a3,#dfb5a1,Y,22,8,Sweaters & Sweatshirts,Tops,sweater,2,N,Color-block,2009,"Study Abroad, London",Y,Y,N,N,N,"August, 2009","June, 2010",Another piece inherited from my mom; didn't realize it was Chanel until I found a tiny tag on the bottom hem
4,French Connection,#000000,,N,,8,Sweaters & Sweatshirts,Tops,sweater,3,N,Drapey,2009,"Study Abroad, London",N,N,N,N,N,"August, 2009","June, 2010",Layers up well in the fall
10,Aritzia,#e5dfd6,,N,,8,Sweaters & Sweatshirts,Tops,sweater,4,N,Ribbed crop,2013,Los Angeles,Y,N,N,Y,N,"June, 2011","June, 2014","Even though there are a few little stains on this, it's too beautiful for me to give up on it"
11,Aritzia,#97bfb8,#6d5561,Y,25,8,Sweaters & Sweatshirts,Tops,sweater,5,N,Rainbow yarn,2013,Los Angeles,Y,N,N,Y,N,"June, 2011","June, 2014","Slightly awkward cut, but the fabric is like a hazy daydream"
12,Opening Ceremony,#FFFFFF,#24294f,Y,26,8,Sweaters & Sweatshirts,Tops,sweater,6,N,"""L"" monogram",2013,Los Angeles,N,N,N,N,N,"June, 2011","June, 2014",RIP Opening Ceremony
37,Cupcakes & Cashmere,#f7decd,#5d698c,Y,45,8,Sweaters & Sweatshirts,Tops,sweater,7,N,Confetti-yarn,2019,"Roslindale, MA",Y,N,Y,N,N,"June, 2019","June, 2020",Replaced 3 or 4 moth-eaten sweaters with this one
41,Madewell,#65635a,#bcbab5,Y,52,8,Sweaters & Sweatshirts,Tops,sweater,3,Y,Textured yarn,2020,"Roslindale, MA",Y,N,N,N,N,"June, 2019","June, 2020",Bought for an interview
20,Madewell,#4f4e4b,,N,,8,Sweaters & Sweatshirts,Tops,sweatshirt,1,Y,Cropped quilted,2015,"Hangzhou, China",Y,N,N,Y,N,"September, 2014","July, 2016","Looks kind of like a taberd, but cozier"
32,Sezane,#ac4437,#4f657a,Y,46,8,Sweaters & Sweatshirts,Tops,sweater,2,Y,Drapey color-block,2019,"The Orme School, Mayer, AZ",Y,N,Y,N,N,"June, 2019","June, 2020",There are buttons on the back!
46,Monogram,#000000,#FFFFFF,Y,54,8,Sweaters & Sweatshirts,Tops,sweatshirt,6,Y,Club sandwich graphic,2020,"Lawrence, MA",N,N,Y,N,Y,"June, 2020",and beyond,WFH coziness
47,The Reformation,#FFFFFF,#b4c0d1,Y,55,8,Sweaters & Sweatshirts,Tops,sweatshirt,5,Y,Tie-dyed half-zip,2020,"Lawrence, MA",N,N,Y,N,Y,"June, 2020",and beyond,WFH coziness
42,Uniqlo,#000000,,N,,8,Sweaters & Sweatshirts,Tops,sweater,4,Y,Ribbed turtleneck,2020,"Roslindale, MA",N,N,Y,N,N,"June, 2019","June, 2020",Bought to replace a black turtleneck that fell apart
6,Aritzia,#000000,,N,,9,Woven Tops,Tops,blouse,1,N,Sheer crepe,2012,Los Angeles,Y,N,N,N,N,"June, 2011","June, 2014",For date nights
7,J. Crew,#434a5b,#f3f4d0,Y,23,9,Woven Tops,Tops,shirt,2,N,Silk French-hen print,2012,Los Angeles,N,N,N,N,N,"June, 2011","June, 2014",The French hens still make me laugh
9,Madewell,#8e322e,#000000,Y,24,9,Woven Tops,Tops,shirt,3,N,Silk check-print,2013,Los Angeles,N,N,N,N,N,"June, 2011","June, 2014",Interview shirt
19,,#FFFFFF,#7584a0,Y,31,9,Woven Tops,Tops,shirt,1,Y,Striped western-style,2014,"Moved in with Steven, Nottingham",N,Y,N,Y,N,"June, 2014","September, 2014",Steven found this in a vinatge shop in Glasgow
26,Diane von Furstenberg,#428376,#ed1e4b,Y,37,9,Woven Tops,Tops,shirt,4,N,Silk jungle-print,2016,"The Orme School, Mayer, AZ",N,Y,N,Y,N,"September, 2016","June, 2019",Steven originally wanted to buy this until we realized it was my size
30,,#2f2e4c,#FFFFFF,Y,40,9,Woven Tops,Tops,top,5,N,Embroidered,2017,"The Orme School, Mayer, AZ",N,Y,N,Y,N,"September, 2016","June, 2019",Another piece from an alleged socialite whose family owned a major pencil manufacturer in the 60s
27,Madewell,#964038,#384942,Y,38,9,Woven Tops,Tops,shirt,2,Y,Check flannel,2016,"The Orme School, Mayer, AZ",Y,N,Y,N,N,"September, 2016","June, 2019",Fall shirt
36,,#c92d40,#af945d,Y,44,9,Woven Tops,Tops,shirt,3,Y,Striped,2019,"Roslindale, MA",N,Y,N,Y,N,"June, 2019","June, 2020","Steven calls this one my ""circus shirt"""
