"COLLECTION_NAME","COUPLE_ID","COUPLE_SEQUENCE","RELATED","SEX","AGE","RACE","RACED","HISPAN","HISPAND","BPL","BPLD","INCTOT","INCWAGE"
"ms_children_2018",3355,"c1",201,1,37,1,100,0,0,26,2600,42000,42000
"ms_children_2018",3355,"c2",101,2,35,1,100,0,0,28,2800,0,0
"ms_children_2018",3355,"ch1",301,1,17,1,100,0,0,28,2800,0,0
"ms_children_2018",3355,"ch2",301,1,15,1,100,0,0,28,2800,0,999999
"ms_children_2018",4185,"c1",201,2,69,1,100,0,0,28,2800,16100,0
"ms_children_2018",4185,"c2",101,1,71,1,100,0,0,28,2800,52200,0
"ms_children_2018",1328,"c1",201,1,70,1,100,0,0,22,2200,45400,0
"ms_children_2018",1328,"c2",101,2,68,1,100,0,0,22,2200,9300,0
"ms_children_2018",4796,"c1",201,1,48,1,100,0,0,17,1700,26000,26000
"ms_children_2018",4796,"c2",101,1,52,1,100,0,0,28,2800,20000,20000
"ms_children_2018",3396,"c1",201,2,68,1,100,0,0,28,2800,11800,3000
"ms_children_2018",3396,"c2",101,1,81,1,100,0,0,36,3600,70890,0
"ms_children_2018",5923,"c1",201,2,60,1,100,0,0,13,1300,65000,65000
"ms_children_2018",5923,"c2",101,1,67,1,100,0,0,1,100,34400,12700
"ms_children_2018",1696,"c1",201,1,73,1,100,0,0,28,2800,143000,100000
"ms_children_2018",1696,"c2",101,2,64,1,100,0,0,28,2800,40000,0
"ms_children_2018",2977,"c1",201,2,52,2,200,0,0,29,2900,50000,50000
"ms_children_2018",2977,"c2",101,1,56,2,200,0,0,28,2800,100000,100000
"ms_children_2018",2977,"ch1",301,2,21,2,200,0,0,28,2800,0,0
"ms_children_2018",5113,"c1",201,2,44,1,100,0,0,48,4800,400,400
"ms_children_2018",5113,"c2",101,1,47,1,100,0,0,22,2200,112000,112000
"ms_children_2018",5113,"ch1",301,2,17,1,100,0,0,22,2200,0,0
"ms_children_2018",5113,"ch2",301,2,15,1,100,0,0,22,2200,0,999999
"ms_children_2018",3264,"c1",201,2,71,1,100,0,0,28,2800,6500,0
"ms_children_2018",3264,"c2",101,1,62,1,100,0,0,28,2800,16100,11100
"ms_children_2018",3631,"c1",201,2,75,2,200,0,0,28,2800,29200,0
"ms_children_2018",3631,"c2",101,1,82,2,200,0,0,28,2800,9600,0
"ms_children_2018",3258,"c1",201,1,66,1,100,0,0,47,4700,62500,0
"ms_children_2018",3258,"c2",101,2,66,1,100,0,0,47,4700,9880,0
"ms_children_2018",1460,"c1",201,2,34,7,700,1,100,200,20000,33000,33000
"ms_children_2018",1460,"c2",101,1,20,7,700,1,100,28,2800,15100,15100
"ms_children_2018",3650,"c1",201,2,63,2,200,0,0,28,2800,21000,21000
"ms_children_2018",3650,"c2",101,1,64,2,200,0,0,28,2800,30000,30000
